
episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance

episode,successRate,timeRemaining,agentSuccessCount,observableDistance
132,T,4954,0,20
123,T,4970,0,20
125,T,4951,0,20
122,T,4957,0,20
118,T,4933,0,20
114,T,4791,0,20
127,T,4952,0,20
110,T,4908,0,20
119,T,4979,0,20
120,T,4984,0,20
124,T,4940,0,20
125,T,4994,0,20
133,T,4926,0,20
121,T,4981,0,20
134,T,4975,0,20
135,T,4977,0,20
128,T,4905,0,20
126,T,4927,0,20
129,T,4977,0,20
122,T,4829,0,20
111,T,4861,0,20
130,T,4973,0,20
122,T,4896,0,20
136,T,4939,0,20
112,T,4980,0,20
113,T,4997,0,20
131,T,4964,0,20
114,T,4969,0,20
123,T,4789,0,20
132,T,4978,0,20
127,T,4909,0,20
115,T,4791,0,20
123,T,4921,0,20
128,T,4979,0,20
123,T,4924,0,20
124,T,4967,0,20
124,T,4939,0,20
116,T,4934,0,20
137,T,4879,0,20
133,T,4922,0,20
125,T,4976,0,20
129,T,4937,0,20
115,T,4906,0,20
124,T,4925,0,20
134,T,4982,0,20
116,T,4985,0,20
126,T,4673,0,20
125,T,4945,0,20
138,T,4959,0,20
125,T,4972,0,20
139,T,4986,0,20
117,T,4969,0,20
117,T,4935,0,20
130,T,4937,0,20
126,T,4923,0,20
131,T,4986,0,20
135,T,4930,0,20
118,T,4961,0,20
127,T,4932,0,20
140,T,4939,0,20
118,T,4940,0,20
