
episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount

episode,successRate,timeRemaining,agentSuccessCount
105,S,3467,8
107,S,4787,0
62,S,4805,0
106,S,4944,0
108,S,4791,0
108,S,4938,0
93,S,4232,4
77,S,4621,2
78,S,4164,8
58,S,4565,2
131,S,4353,2
109,S,4672,2
94,S,4797,2
109,S,4645,2
78,S,4827,0
62,S,4101,6
79,S,4964,0
80,S,4979,0
110,S,4899,0
110,S,4849,0
112,S,4312,6
132,S,4740,0
79,S,4649,2
111,S,4953,0
80,S,4966,0
95,S,4703,2
111,S,4785,0
63,S,4275,4
63,S,4656,2
81,S,4706,2
64,S,4910,0
107,S,4202,0
81,S,4783,2
82,S,4903,0
112,S,4703,0
113,S,4657,2
133,S,4663,2
83,S,4932,0
112,S,4776,0
114,S,4871,0
108,S,4811,2
113,S,4846,0
64,S,4696,2
114,S,4885,0
109,S,4797,0
134,S,4646,2
115,S,4748,0
65,S,4551,2
84,S,4622,2
82,S,4469,4
115,S,4779,0
59,S,3906,6
135,S,4795,0
136,S,4962,0
113,S,4443,2
65,S,4558,4
85,S,4675,0
66,S,4650,2
116,S,4720,2
86,S,4931,0
137,S,4779,2
83,S,4599,2
60,S,4530,4
138,S,4837,2
84,S,4875,0
66,S,4567,4
61,S,4896,0
85,S,4902,0
114,S,4498,2
67,S,4919,0
62,S,4937,0
116,S,4149,2
117,S,4525,4
63,S,4860,0
96,S,3484,8
115,S,4722,2
87,S,4400,4
64,S,4856,0
117,S,4643,2
118,S,4619,2
110,S,3670,4
139,S,4263,6
116,S,4658,2
97,S,4575,2
111,S,4905,0
88,S,4605,0
140,S,4860,2
118,S,4703,0
89,S,4905,0
112,S,4833,0
98,S,4706,2
68,S,4068,8
119,S,4813,0
113,S,4838,0
65,S,4288,4
69,S,4881,0
114,S,4807,0
119,S,4319,2
141,S,4547,2
115,S,4893,0
142,S,4892,2
99,S,4552,2
116,S,4878,0
117,S,4945,0
143,S,4859,2
86,S,3426,6
90,S,4196,4
120,S,4358,4
120,S,4551,4
87,S,4913,0
102,S,4587,0
88,S,4956,0
144,S,4699,2
145,S,4892,0
100,S,4474,2
70,S,4102,8
146,S,4861,0
103,S,4652,2
147,S,4882,0
104,S,4900,0
66,S,3812,10
101,S,4628,2
121,S,4318,2
121,S,4309,2
102,S,4907,0
105,S,4750,0
91,S,4118,4
103,S,4882,0
89,S,4174,4
148,S,4574,2
104,S,4777,2
122,S,4601,2
105,S,4822,2
149,S,4559,2
118,S,3432,8
106,S,4850,0
119,S,4987,0
123,S,4613,2
90,S,4360,2
122,S,4056,4
92,S,4200,4
71,S,3680,8
124,S,4771,2
107,S,4670,2
106,S,3993,4
93,S,4874,0
150,S,4437,4
94,S,4842,0
67,S,3619,10
151,S,4923,0
123,S,4592,2
91,S,4438,2
95,S,4825,0
92,S,4963,0
152,S,4800,0
96,S,4856,0
107,S,4449,2
93,S,4823,2
68,S,4624,4
108,S,4395,2
72,S,4271,2
153,S,4788,2
125,S,4264,4
73,S,4906,0
108,S,4819,2
94,S,4825,0
124,S,4515,2
109,S,4957,0
109,S,4799,2
120,S,3867,4
95,S,4906,0
110,S,4890,0
97,S,4571,2
121,S,4856,0
96,S,4866,0
126,S,4732,0
117,S,1261,0
125,S,4727,2
127,S,4940,0
128,S,4978,0
122,S,4830,0
110,S,4614,2
111,S,4698,2
98,S,4616,2
112,S,4811,0
111,S,4773,2
113,S,4962,0
97,S,4491,2
99,S,4791,0
154,S,4120,6
98,S,4907,2
118,S,4407,2
126,S,4437,2
69,S,3997,4
129,S,4434,4
155,S,4901,0
99,S,4913,0
100,S,4832,0
130,S,4874,2
156,S,4857,0
123,S,4308,4
157,S,4977,0
119,S,4760,0
127,S,4708,0
74,S,3780,8
128,S,4902,0
114,S,4392,2
70,S,4454,4
124,S,4646,2
158,S,4548,2
125,S,4884,0
126,S,4951,0
120,S,4447,2
131,S,4371,2
68,S,3808,6
69,S,4950,0
132,S,4856,0
100,S,4103,6
121,S,4812,0
122,S,4976,0
112,S,3817,6
127,S,4703,2
129,S,4296,4
159,S,4565,4
115,S,4305,2
113,S,4804,0
128,S,4814,0
71,S,4313,4
123,S,4748,0
70,S,4657,2
160,S,4862,0
101,S,3802,6
124,S,4930,0
102,S,4918,0
125,S,4894,0
126,S,4924,0
101,S,4460,2
103,S,4843,2
127,S,4910,0
104,S,4951,0
133,S,4305,2
114,S,4537,2
116,S,4468,2
102,S,4826,2
161,S,4544,2
128,S,4874,0
129,S,4489,4
130,S,4334,4
105,S,4792,0
117,S,4810,0
71,S,4315,0
106,S,4855,0
162,S,4765,0
131,S,4802,0
72,S,4929,0
75,S,3306,12
76,S,4855,0
77,S,4962,0
118,S,4579,2
163,S,4633,2
115,S,4350,2
132,S,4634,4
164,S,4911,0
107,S,4525,2
119,S,4797,0
133,S,4838,2
108,S,4896,0
72,S,3702,10
134,S,4893,0
103,S,4088,6
130,S,4123,4
129,S,4058,2
78,S,4575,2
116,S,4607,2
117,S,4964,0
79,S,4906,0
120,S,4718,2
135,S,4799,0
134,S,3815,6
130,S,4802,0
165,S,4522,2
118,S,4865,0
136,S,4881,0
119,S,4943,0
109,S,4573,4
135,S,4854,0
137,S,4944,0
120,S,4941,0
110,S,4861,0
73,S,4445,4
80,S,4651,2
131,S,4698,0
81,S,4902,2
166,S,4638,4
138,S,4643,2
136,S,4611,2
167,S,4880,0
74,S,4707,2
111,S,4661,2
73,S,3561,8
139,S,4862,0
75,S,4871,2
74,S,4924,0
121,S,4440,4
122,S,4983,0
137,S,4761,0
112,S,4827,0
123,S,4943,0
140,S,4799,0
104,S,3888,4
131,S,3845,6
113,S,4833,0
132,S,4359,2
124,S,4763,2
114,S,4871,2
141,S,4724,2
105,S,4733,2
142,S,4920,0
121,S,3738,6
76,S,4426,2
132,S,4600,2
122,S,4845,0
168,S,4140,6
115,S,4652,2
82,S,3942,8
138,S,4261,2
133,S,4423,2
116,S,4848,0
83,S,4859,2
125,S,4411,2
77,S,4622,4
75,S,4027,4
78,S,4956,0
106,S,4327,4
117,S,4715,2
143,S,4309,2
139,S,4613,2
169,S,4438,2
118,S,4884,0
170,S,4887,0
126,S,4501,2
119,S,4586,4
84,S,4175,4
123,S,3947,6
171,S,4605,2
134,S,4036,6
124,S,4882,0
120,S,4848,2
144,S,4336,4
127,S,4420,4
79,S,3929,8
172,S,4699,2
121,S,4770,2
173,S,4960,0
174,S,4980,0
122,S,4843,0
135,S,4585,2
76,S,3647,6
136,S,4902,0
145,S,4494,2
85,S,4334,6
